Date,Day,Day_of_Week,Week,Month,Year,Season,Festival,Category,Product,Cost_Price,Selling_Price,Margin_%,Discount_%,Current_Stock,Reorder_Level,Lead_Time_Days,Holding_Cost_Per_Unit,Supplier_Reliability,Investment,Revenue,Profit,Units_Sold
2022-01-06,6,3,1,1,2022,Winter,None,Electronics,Earphones Boat,350,599,71.14,0,29,20,5,7.0,0.91,32200,55108.0,22908.0,92
2022-01-07,7,4,1,1,2022,Winter,None,Electronics,USB Cable,45,89,97.78,0,221,50,4,0.9,0.85,3645,7209.0,3564.0,81
2022-01-07,7,4,1,1,2022,Winter,None,Grocery,Salt 1kg,18,25,38.89,10,571,120,2,0.36,0.87,576,720.0,144.0,32
2022-01-07,7,4,1,1,2022,Winter,None,Grocery,Sunflower Oil 1L,120,148,23.33,5,266,60,4,2.4,0.82,6720,7873.6,1153.6,56
2022-01-08,8,5,1,1,2022,Winter,None,FMCG,Biscuit Parle-G,8,12,50.0,5,861,200,2,0.16,0.73,144,205.2,61.2,18
2022-01-08,8,5,1,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,5,43,30,5,1.3,0.77,5850,8122.5,2272.5,90
2022-01-08,8,5,1,1,2022,Winter,None,Fashion,Shoes Casual,350,699,99.71,0,79,25,6,7.0,0.76,58450,116733.0,58283.0,167
2022-01-09,9,6,1,1,2022,Winter,None,Electronics,Power Bank 10000mAh,650,1099,69.08,20,46,15,6,13.0,0.84,33150,44839.2,11689.2,51
2022-01-09,9,6,1,1,2022,Winter,None,Grocery,Salt 1kg,18,25,38.89,20,204,120,2,0.36,0.81,2124,2360.0,236.0,118
2022-01-09,9,6,1,1,2022,Winter,None,Agriculture,Fertilizer NPK 1kg,125,168,34.4,5,125,25,6,2.5,0.84,9375,11970.0,2595.0,75
2022-01-09,9,6,1,1,2022,Winter,None,FMCG,Biscuit Parle-G,8,12,50.0,5,698,200,2,0.16,0.75,1008,1436.4,428.4,126
2022-01-09,9,6,1,1,2022,Winter,None,Grocery,Sugar 1kg,42,54,28.57,0,396,100,2,0.84,0.92,2898,3726.0,828.0,69
2022-01-09,9,6,1,1,2022,Winter,None,Grocery,Basmati Rice 5kg,180,225,25.0,0,199,50,3,3.6,0.84,12060,15075.0,3015.0,67
2022-01-10,10,0,2,1,2022,Winter,None,FMCG,Detergent Surf 1kg,95,125,31.58,0,381,90,3,1.9,0.77,5320,7000.0,1680.0,56
2022-01-10,10,0,2,1,2022,Winter,None,Grocery,Sugar 1kg,42,54,28.57,10,314,100,2,0.84,0.9,588,680.4,92.4,14
2022-01-10,10,0,2,1,2022,Winter,None,FMCG,Diya Set 12pc,48,95,97.92,10,417,150,2,0.96,0.76,3744,6669.0,2925.0,78
2022-01-10,10,0,2,1,2022,Winter,None,Grocery,Dal Toor 1kg,95,118,24.21,15,282,80,3,1.9,0.74,5320,5616.8,296.8,56
2022-01-10,10,0,2,1,2022,Winter,None,FMCG,Cold Drink 500ml,20,30,50.0,15,969,200,2,0.4,0.98,1000,1275.0,275.0,50
2022-01-10,10,0,2,1,2022,Winter,None,Grocery,Salt 1kg,18,25,38.89,0,408,120,2,0.36,1.0,1656,2300.0,644.0,92
2022-01-10,10,0,2,1,2022,Winter,None,FMCG,Dandiya Sticks,40,85,112.5,0,471,200,2,0.8,0.74,3080,6545.0,3465.0,77
2022-01-11,11,1,2,1,2022,Winter,None,Grocery,Salt 1kg,18,25,38.89,10,533,120,2,0.36,0.9,1116,1395.0,279.0,62
2022-01-11,11,1,2,1,2022,Winter,None,Electronics,Power Bank 10000mAh,650,1099,69.08,0,57,15,6,13.0,0.73,57850,97811.0,39961.0,89
2022-01-11,11,1,2,1,2022,Winter,None,Stationery,Notebook A4,28,45,60.71,0,154,100,3,0.56,0.92,980,1575.0,595.0,35
2022-01-11,11,1,2,1,2022,Winter,None,Fashion,T-Shirt Men,180,349,93.89,0,56,30,5,3.6,0.92,11520,22336.0,10816.0,64
2022-01-11,11,1,2,1,2022,Winter,None,FMCG,Detergent Surf 1kg,95,125,31.58,0,218,90,3,1.9,0.97,4275,5625.0,1350.0,45
2022-01-12,12,2,2,1,2022,Winter,Republic Day,Grocery,Dal Toor 1kg,95,118,24.21,20,214,80,3,1.9,0.75,3800,3776.0,-24.0,40
2022-01-12,12,2,2,1,2022,Winter,Republic Day,Agriculture,Wheat Seeds 1kg,65,95,46.15,5,101,30,5,1.3,0.7,8905,12364.25,3459.25,137
2022-01-12,12,2,2,1,2022,Winter,Republic Day,Electronics,Fan Table,850,1350,58.82,0,31,8,7,17.0,0.87,34850,55350.0,20500.0,41
2022-01-13,13,3,2,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,20,56,30,5,1.3,0.9,975,1140.0,165.0,15
2022-01-13,13,3,2,1,2022,Winter,None,FMCG,Shampoo Head&Shoulders,85,115,35.29,15,366,80,4,1.7,0.97,1700,1955.0,255.0,20
2022-01-13,13,3,2,1,2022,Winter,None,Grocery,Sunflower Oil 1L,120,148,23.33,5,120,60,4,2.4,0.96,4680,5483.4,803.4,39
2022-01-13,13,3,2,1,2022,Winter,None,Fashion,Jeans Men,450,899,99.78,20,23,20,6,9.0,0.75,25200,40275.2,15075.2,56
2022-01-14,14,4,2,1,2022,Winter,None,Stationery,Eraser Pack,12,20,66.67,0,621,150,2,0.24,0.8,756,1260.0,504.0,63
2022-01-14,14,4,2,1,2022,Winter,None,Electronics,Power Bank 10000mAh,650,1099,69.08,20,57,15,6,13.0,0.76,25350,34288.8,8938.8,39
2022-01-14,14,4,2,1,2022,Winter,None,Electronics,Fan Table,850,1350,58.82,0,25,8,7,17.0,0.81,50150,79650.0,29500.0,59
2022-01-14,14,4,2,1,2022,Winter,None,FMCG,Detergent Surf 1kg,95,125,31.58,10,364,90,3,1.9,0.8,6840,8100.0,1260.0,72
2022-01-14,14,4,2,1,2022,Winter,None,FMCG,Biscuit Parle-G,8,12,50.0,0,467,200,2,0.16,0.75,208,312.0,104.0,26
2022-01-15,15,5,2,1,2022,Winter,None,Grocery,Sunflower Oil 1L,120,148,23.33,10,207,60,4,2.4,0.76,3840,4262.4,422.4,32
2022-01-15,15,5,2,1,2022,Winter,None,FMCG,Biscuit Parle-G,8,12,50.0,0,751,200,2,0.16,0.91,592,888.0,296.0,74
2022-01-15,15,5,2,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,15,38,30,5,1.3,0.98,3055,3795.25,740.25,47
2022-01-15,15,5,2,1,2022,Winter,None,Fashion,Shoes Casual,350,699,99.71,0,40,25,6,7.0,0.92,39200,78288.0,39088.0,112
2022-01-15,15,5,2,1,2022,Winter,None,Fashion,Saree Cotton,350,699,99.71,0,41,15,7,7.0,0.8,52150,104151.0,52001.0,149
2022-01-16,16,6,2,1,2022,Winter,None,Fashion,T-Shirt Men,180,349,93.89,5,68,30,5,3.6,0.79,35640,65646.9,30006.9,198
2022-01-16,16,6,2,1,2022,Winter,None,FMCG,Dandiya Sticks,40,85,112.5,5,529,200,2,0.8,0.84,5120,10336.0,5216.0,128
2022-01-16,16,6,2,1,2022,Winter,None,FMCG,Shampoo Head&Shoulders,85,115,35.29,5,166,80,4,1.7,0.9,4250,5462.5,1212.5,50
2022-01-16,16,6,2,1,2022,Winter,None,Electronics,Smartphone Redmi,8500,10999,29.4,0,49,10,7,170.0,0.8,1071000,1385874.0,314874.0,126
2022-01-16,16,6,2,1,2022,Winter,None,Stationery,Eraser Pack,12,20,66.67,20,380,150,2,0.24,0.94,636,848.0,212.0,53
2022-01-16,16,6,2,1,2022,Winter,None,Stationery,Pen Blue Pack 10,25,40,60.0,0,686,200,2,0.5,0.88,225,360.0,135.0,9
2022-01-16,16,6,2,1,2022,Winter,None,FMCG,Cold Drink 500ml,20,30,50.0,20,844,200,2,0.4,0.87,420,504.0,84.0,21
2022-01-16,16,6,2,1,2022,Winter,None,Fashion,Jeans Men,450,899,99.78,15,51,20,6,9.0,0.74,56700,96282.9,39582.9,126
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,Grocery,Basmati Rice 5kg,180,225,25.0,5,220,50,3,3.6,0.86,11160,13252.5,2092.5,62
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,FMCG,Biscuit Parle-G,8,12,50.0,10,653,200,2,0.16,0.88,912,1231.2,319.2,114
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,Agriculture,Wheat Seeds 1kg,65,95,46.15,15,146,30,5,1.3,0.86,10140,12597.0,2457.0,156
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,Electronics,USB Cable,45,89,97.78,0,242,50,4,0.9,0.77,6705,13261.0,6556.0,149
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,FMCG,Cold Drink 500ml,20,30,50.0,15,733,200,2,0.4,0.85,1900,2422.5,522.5,95
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,Agriculture,Pesticide 500ml,180,245,36.11,0,56,20,5,3.6,0.77,16380,22295.0,5915.0,91
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,Grocery,Sugar 1kg,42,54,28.57,0,141,100,2,0.84,0.74,5502,7074.0,1572.0,131
2022-01-17,17,0,3,1,2022,Winter,Makar Sankranti,Electronics,Fan Table,850,1350,58.82,0,21,8,7,17.0,0.72,115600,183600.0,68000.0,136
2022-01-18,18,1,3,1,2022,Winter,None,Fashion,Kurta Women,280,549,96.07,5,22,20,5,5.6,0.96,46760,87098.85,40338.85,167
2022-01-18,18,1,3,1,2022,Winter,None,FMCG,Kite + String,25,55,120.0,20,312,300,2,0.5,0.98,2225,3916.0,1691.0,89
2022-01-18,18,1,3,1,2022,Winter,None,Agriculture,Pesticide 500ml,180,245,36.11,0,73,20,5,3.6,0.86,14400,19600.0,5200.0,80
2022-01-18,18,1,3,1,2022,Winter,None,Stationery,Eraser Pack,12,20,66.67,15,375,150,2,0.24,0.85,1092,1547.0,455.0,91
2022-01-18,18,1,3,1,2022,Winter,None,Grocery,Sugar 1kg,42,54,28.57,0,299,100,2,0.84,0.8,3486,4482.0,996.0,83
2022-01-18,18,1,3,1,2022,Winter,None,Electronics,Earphones Boat,350,599,71.14,15,79,20,5,7.0,0.98,27650,40222.85,12572.85,79
2022-01-19,19,2,3,1,2022,Winter,None,FMCG,Kite + String,25,55,120.0,0,970,300,2,0.5,0.76,275,605.0,330.0,11
2022-01-19,19,2,3,1,2022,Winter,None,Grocery,Wheat Flour 10kg,320,385,20.31,0,137,40,3,6.4,0.78,23680,28490.0,4810.0,74
2022-01-19,19,2,3,1,2022,Winter,None,Stationery,Pencil Box,35,55,57.14,20,121,80,3,0.7,0.84,1995,2508.0,513.0,57
2022-01-19,19,2,3,1,2022,Winter,None,Grocery,Eid Special Dates,280,450,60.71,15,129,40,4,5.6,0.77,23800,32512.5,8712.5,85
2022-01-19,19,2,3,1,2022,Winter,None,Grocery,Dal Toor 1kg,95,118,24.21,0,206,80,3,1.9,0.76,1425,1770.0,345.0,15
2022-01-19,19,2,3,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,0,90,30,5,1.3,0.9,1755,2565.0,810.0,27
2022-01-19,19,2,3,1,2022,Winter,None,FMCG,Shampoo Head&Shoulders,85,115,35.29,10,211,80,4,1.7,0.93,3145,3829.5,684.5,37
2022-01-20,20,3,3,1,2022,Winter,None,FMCG,Soap Lux,22,32,45.45,0,534,150,3,0.44,0.82,2200,3200.0,1000.0,100
2022-01-20,20,3,3,1,2022,Winter,None,FMCG,Detergent Surf 1kg,95,125,31.58,15,443,90,3,1.9,0.95,2755,3081.25,326.25,29
2022-01-20,20,3,3,1,2022,Winter,None,Fashion,Jeans Men,450,899,99.78,0,58,20,6,9.0,0.96,15300,30566.0,15266.0,34
2022-01-20,20,3,3,1,2022,Winter,None,FMCG,Biscuit Parle-G,8,12,50.0,10,779,200,2,0.16,0.93,208,280.8,72.8,26
2022-01-21,21,4,3,1,2022,Winter,None,FMCG,Kite + String,25,55,120.0,0,516,300,2,0.5,0.83,1950,4290.0,2340.0,78
2022-01-21,21,4,3,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,0,85,30,5,1.3,0.75,5720,8360.0,2640.0,88
2022-01-21,21,4,3,1,2022,Winter,None,Stationery,Notebook A4,28,45,60.71,10,375,100,3,0.56,0.93,1232,1782.0,550.0,44
2022-01-21,21,4,3,1,2022,Winter,None,Grocery,Salt 1kg,18,25,38.89,5,423,120,2,0.36,0.78,1692,2232.5,540.5,94
2022-01-21,21,4,3,1,2022,Winter,None,FMCG,Diya Set 12pc,48,95,97.92,20,238,150,2,0.96,0.78,2304,3648.0,1344.0,48
2022-01-22,22,5,3,1,2022,Winter,None,Electronics,Power Bank 10000mAh,650,1099,69.08,0,66,15,6,13.0,0.78,65000,109900.0,44900.0,100
2022-01-22,22,5,3,1,2022,Winter,None,Agriculture,Pesticide 500ml,180,245,36.11,0,86,20,5,3.6,0.98,12420,16905.0,4485.0,69
2022-01-22,22,5,3,1,2022,Winter,None,Stationery,Pen Blue Pack 10,25,40,60.0,0,700,200,2,0.5,0.87,1350,2160.0,810.0,54
2022-01-22,22,5,3,1,2022,Winter,None,Fashion,Kurta Women,280,549,96.07,0,82,20,5,5.6,0.83,44800,87840.0,43040.0,160
2022-01-22,22,5,3,1,2022,Winter,None,Grocery,Wheat Flour 10kg,320,385,20.31,0,143,40,3,6.4,0.91,8320,10010.0,1690.0,26
2022-01-22,22,5,3,1,2022,Winter,None,FMCG,Puja Thali Set,125,245,96.0,0,191,50,3,2.5,0.86,14500,28420.0,13920.0,116
2022-01-23,23,6,3,1,2022,Winter,Makar Sankranti,FMCG,Dandiya Sticks,40,85,112.5,15,960,200,2,0.8,0.86,3000,5418.75,2418.75,75
2022-01-23,23,6,3,1,2022,Winter,Makar Sankranti,Fashion,Kurta Women,280,549,96.07,20,81,20,5,5.6,0.78,28840,45237.6,16397.6,103
2022-01-23,23,6,3,1,2022,Winter,Makar Sankranti,Fashion,Shoes Casual,350,699,99.71,10,37,25,6,7.0,0.95,110250,198166.5,87916.5,315
2022-01-23,23,6,3,1,2022,Winter,Makar Sankranti,Agriculture,Pesticide 500ml,180,245,36.11,0,58,20,5,3.6,0.7,17460,23765.0,6305.0,97
2022-01-23,23,6,3,1,2022,Winter,Makar Sankranti,Electronics,Fan Table,850,1350,58.82,10,11,8,7,17.0,0.87,49300,70470.0,21170.0,58
2022-01-23,23,6,3,1,2022,Winter,Makar Sankranti,Fashion,Jeans Men,450,899,99.78,15,82,20,6,9.0,0.73,41850,71065.95,29215.95,93
2022-01-24,24,0,4,1,2022,Winter,None,Grocery,Eid Special Dates,280,450,60.71,0,104,40,4,5.6,0.98,12880,20700.0,7820.0,46
2022-01-24,24,0,4,1,2022,Winter,None,Fashion,T-Shirt Men,180,349,93.89,5,81,30,5,3.6,0.85,6840,12598.9,5758.9,38
2022-01-24,24,0,4,1,2022,Winter,None,FMCG,Gulal Colors Set,35,75,114.29,10,776,200,2,0.7,0.98,385,742.5,357.5,11
2022-01-25,25,1,4,1,2022,Winter,None,Electronics,Power Bank 10000mAh,650,1099,69.08,10,39,15,6,13.0,0.84,30550,46487.7,15937.7,47
2022-01-25,25,1,4,1,2022,Winter,None,FMCG,Soap Lux,22,32,45.45,5,589,150,3,0.44,0.79,1298,1793.6,495.6,59
2022-01-25,25,1,4,1,2022,Winter,None,FMCG,Dandiya Sticks,40,85,112.5,10,957,200,2,0.8,0.73,600,1147.5,547.5,15
2022-01-26,26,2,4,1,2022,Winter,Makar Sankranti,Electronics,Earphones Boat,350,599,71.14,0,96,20,5,7.0,0.84,3850,6589.0,2739.0,11
2022-01-26,26,2,4,1,2022,Winter,Makar Sankranti,Electronics,LED Bulb 9W,48,85,77.08,0,112,40,4,0.96,0.91,3456,6120.0,2664.0,72
2022-01-26,26,2,4,1,2022,Winter,Makar Sankranti,Grocery,Dal Toor 1kg,95,118,24.21,5,215,80,3,1.9,0.94,3515,4147.7,632.7,37
2022-01-26,26,2,4,1,2022,Winter,Makar Sankranti,FMCG,Detergent Surf 1kg,95,125,31.58,15,191,90,3,1.9,0.83,17385,19443.75,2058.75,183
2022-01-27,27,3,4,1,2022,Winter,None,Electronics,USB Cable,45,89,97.78,10,162,50,4,0.9,0.74,5220,9291.6,4071.6,116
2022-01-27,27,3,4,1,2022,Winter,None,FMCG,Toothpaste Colgate,55,75,36.36,15,239,100,3,1.1,0.85,3025,3506.25,481.25,55
2022-01-27,27,3,4,1,2022,Winter,None,Electronics,Fan Table,850,1350,58.82,5,10,8,7,17.0,0.97,55250,83362.5,28112.5,65
2022-01-27,27,3,4,1,2022,Winter,None,Grocery,Eid Special Dates,280,450,60.71,15,46,40,4,5.6,0.73,18760,25627.5,6867.5,67
2022-01-27,27,3,4,1,2022,Winter,None,Grocery,Salt 1kg,18,25,38.89,15,130,120,2,0.36,1.0,2034,2401.25,367.25,113
2022-01-27,27,3,4,1,2022,Winter,None,Grocery,Sugar 1kg,42,54,28.57,15,490,100,2,0.84,0.93,2352,2570.4,218.4,56
2022-01-27,27,3,4,1,2022,Winter,None,FMCG,Detergent Surf 1kg,95,125,31.58,5,232,90,3,1.9,0.75,8550,10687.5,2137.5,90
2022-01-28,28,4,4,1,2022,Winter,None,Agriculture,Wheat Seeds 1kg,65,95,46.15,0,118,30,5,1.3,0.85,1950,2850.0,900.0,30
2022-01-28,28,4,4,1,2022,Winter,None,FMCG,Puja Thali Set,125,245,96.0,15,190,50,3,2.5,0.71,9375,15618.75,6243.75,75
2022-01-28,28,4,4,1,2022,Winter,None,Grocery,Dal Toor 1kg,95,118,24.21,0,139,80,3,1.9,0.99,5320,6608.0,1288.0,56
2022-01-28,28,4,4,1,2022,Winter,None,FMCG,Gulal Colors Set,35,75,114.29,5,201,200,2,0.7,0.9,3290,6697.5,3407.5,94
2022-01-28,28,4,4,1,2022,Winter,None,Fashion,Shoes Casual,350,699,99.71,10,49,25,6,7.0,0.86,38850,69830.1,30980.1,111
2022-01-28,28,4,4,1,2022,Winter,None,Stationery,Eraser Pack,12,20,66.67,10,202,150,2,0.24,0.76,936,1404.0,468.0,78
2022-01-28,28,4,4,1,2022,Winter,None,Fashion,Kurta Women,280,549,96.07,10,76,20,5,5.6,0.96,12320,21740.4,9420.4,44
2022-01-29,29,5,4,1,2022,Winter,None,FMCG,Soap Lux,22,32,45.45,0,266,150,3,0.44,0.84,1342,1952.0,610.0,61
2022-01-29,29,5,4,1,2022,Winter,None,Grocery,Wheat Flour 10kg,320,385,20.31,0,114,40,3,6.4,0.85,13760,16555.0,2795.0,43
2022-01-29,29,5,4,1,2022,Winter,None,Electronics,Power Bank 10000mAh,650,1099,69.08,0,45,15,6,13.0,0.77,72150,121989.0,49839.0,111
2022-01-29,29,5,4,1,2022,Winter,None,FMCG,Detergent Surf 1kg,95,125,31.58,10,396,90,3,1.9,0.85,3230,3825.0,595.0,34
2022-01-29,29,5,4,1,2022,Winter,None,Fashion,Jeans Men,450,899,99.78,0,73,20,6,9.0,0.8,12150,24273.0,12123.0,27
2022-01-29,29,5,4,1,2022,Winter,None,Grocery,Basmati Rice 5kg,180,225,25.0,20,50,50,3,3.6,0.78,20340,20340.0,0.0,113
2022-01-30,30,6,4,1,2022,Winter,None,Grocery,Christmas Cake,180,320,77.78,0,78,30,2,3.6,0.84,27000,48000.0,21000.0,150
2022-01-30,30,6,4,1,2022,Winter,None,FMCG,Puja Thali Set,125,245,96.0,0,111,50,3,2.5,0.87,6625,12985.0,6360.0,53
2022-01-30,30,6,4,1,2022,Winter,None,FMCG,Toothpaste Colgate,55,75,36.36,0,481,100,3,1.1,0.84,3960,5400.0,1440.0,72
2022-01-30,30,6,4,1,2022,Winter,None,Agriculture,Fertilizer NPK 1kg,125,168,34.4,20,109,25,6,2.5,0.94,10625,11424.0,799.0,85
2022-01-30,30,6,4,1,2022,Winter,None,FMCG,Kite + String,25,55,120.0,15,375,300,2,0.5,0.74,925,1729.75,804.75,37
2022-01-31,31,0,5,1,2022,Winter,None,Fashion,Kurta Women,280,549,96.07,5,53,20,5,5.6,0.8,9800,18254.25,8454.25,35
2022-01-31,31,0,5,1,2022,Winter,None,FMCG,Biscuit Parle-G,8,12,50.0,15,536,200,2,0.16,0.96,552,703.8,151.8,69
2022-01-31,31,0,5,1,2022,Winter,None,Agriculture,Fertilizer NPK 1kg,125,168,34.4,20,65,25,6,2.5,0.89,11250,12096.0,846.0,90
2022-01-31,31,0,5,1,2022,Winter,None,Grocery,Eid Special Dates,280,450,60.71,20,49,40,4,5.6,0.89,29960,38520.0,8560.0,107
2022-01-31,31,0,5,1,2022,Winter,None,FMCG,Crackers Box,200,380,90.0,0,482,100,3,4.0,0.73,11600,22040.0,10440.0,58
2022-01-31,31,0,5,1,2022,Winter,None,Agriculture,Pesticide 500ml,180,245,36.11,0,58,20,5,3.6,0.97,3780,5145.0,1365.0,21
2022-01-31,31,0,5,1,2022,Winter,None,Grocery,Basmati Rice 5kg,180,225,25.0,0,125,50,3,3.6,0.81,12960,16200.0,3240.0,72
2022-02-01,1,1,5,2,2022,Winter,Valentine's Day,FMCG,Toothpaste Colgate,55,75,36.36,10,398,100,3,1.1,0.74,3685,4522.5,837.5,67
2022-02-01,1,1,5,2,2022,Winter,Valentine's Day,Electronics,Power Bank 10000mAh,650,1099,69.08,5,57,15,6,13.0,0.7,48750,78303.75,29553.75,75
2022-02-01,1,1,5,2,2022,Winter,Valentine's Day,FMCG,Crackers Box,200,380,90.0,20,446,100,3,4.0,0.86,28400,43168.0,14768.0,142
2022-02-01,1,1,5,2,2022,Winter,Valentine's Day,Stationery,Eraser Pack,12,20,66.67,0,456,150,2,0.24,0.89,1512,2520.0,1008.0,126
2022-02-01,1,1,5,2,2022,Winter,Valentine's Day,FMCG,Cold Drink 500ml,20,30,50.0,5,509,200,2,0.4,0.76,1380,1966.5,586.5,69
2022-02-01,1,1,5,2,2022,Winter,Valentine's Day,FMCG,Detergent Surf 1kg,95,125,31.58,5,285,90,3,1.9,0.87,10070,12587.5,2517.5,106
2022-02-02,2,2,5,2,2022,Winter,None,Fashion,T-Shirt Men,180,349,93.89,15,145,30,5,3.6,0.79,24840,40937.7,16097.7,138
2022-02-02,2,2,5,2,2022,Winter,None,Grocery,Christmas Cake,180,320,77.78,20,75,30,2,3.6,0.77,8820,12544.0,3724.0,49
2022-02-02,2,2,5,2,2022,Winter,None,Grocery,Wheat Flour 10kg,320,385,20.31,0,75,40,3,6.4,0.89,17600,21175.0,3575.0,55
2022-02-02,2,2,5,2,2022,Winter,None,Stationery,Pencil Box,35,55,57.14,15,305,80,3,0.7,0.71,350,467.5,117.5,10
2022-02-02,2,2,5,2,2022,Winter,None,Electronics,Fan Table,850,1350,58.82,0,26,8,7,17.0,0.8,18700,29700.0,11000.0,22
