id,product_name,category,cost_price,selling_price,discount_pct,units_sold,current_stock,reorder_level,lead_time_days,holding_cost,supplier_reliability,season,festival,margin_pct,revenue,profit,investment,month,year,day,day_of_week,week,quarter,is_weekend,is_festival,price_ratio,stock_buffer,date,shop_name,location,region
52,Pepsodent 200g,FMCG,75,92,2,54,209,25,2,1.12,0.95,Autumn,Dussehra,22.67,4868.64,818.64,4050,10,2023,20,6,3,4,1,1,1.227,184,2023-10-20,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
53,Surf Excel 1kg,FMCG,130,165,0,88,236,23,3,1.95,0.88,Autumn,Ganesh Chaturthi,26.92,14520.0,3080.0,11440,9,2024,10,3,2,3,0,1,1.269,213,2024-09-10,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
54,Salt Tata 1kg,Grocery,18,22,10,63,39,44,2,0.27,0.92,Summer,Baisakhi,22.22,1247.4,113.4,1134,4,2024,19,5,3,2,1,1,1.222,-5,2024-04-19,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
55,Atta Aashirvaad 10kg,Grocery,330,390,0,119,345,45,7,4.95,0.88,Winter,None,18.18,46410.0,7140.0,39270,2,2024,26,5,4,1,1,0,1.182,300,2024-02-26,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
56,Red Chilli Powder 100g,Grocery,30,42,0,56,346,16,4,0.45,0.92,Rainy,None,40.0,2352.0,672.0,1680,6,2023,28,0,4,2,0,0,1.4,330,2023-06-28,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
57,Vicks 10g,FMCG,35,48,0,67,140,14,1,0.53,0.7,Winter,Makar Sankranti,37.14,3216.0,871.0,2345,1,2024,4,4,1,1,0,1,1.371,126,2024-01-04,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
58,Dupatta Plain,Fashion,95,150,0,15,223,10,7,1.43,0.8,Rainy,None,57.89,2250.0,825.0,1425,7,2024,1,1,1,3,0,0,1.579,213,2024-07-01,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
59,Tea Brooke Bond 500g,Grocery,175,215,0,127,24,36,3,2.62,0.88,Rainy,None,22.86,27305.0,5080.0,22225,7,2023,1,1,1,3,0,0,1.229,-12,2023-07-01,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
60,Dupatta Plain,Fashion,95,150,0,18,136,10,4,1.43,0.8,Winter,Christmas,57.89,2700.0,990.0,1710,12,2024,20,6,3,4,1,1,1.579,126,2024-12-20,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
61,Maggi Noodles 4-Pack,FMCG,52,65,0,230,82,38,3,0.78,0.85,Rainy,Independence Day,25.0,14950.0,2990.0,11960,8,2024,22,1,4,3,0,1,1.25,44,2024-08-22,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
62,Masoor Dal 500g,Grocery,60,78,2,32,103,14,3,0.9,0.85,Rainy,Janmashtami,30.0,2446.08,526.08,1920,8,2023,8,1,2,3,0,1,1.3,89,2023-08-08,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
63,ORS Sachets 5pc,FMCG,22,30,0,56,243,13,4,0.33,0.7,Winter,New Year,36.36,1680.0,448.0,1232,12,2023,12,5,2,4,1,1,1.364,230,2023-12-12,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
64,Red Chilli Powder 100g,Grocery,30,42,0,42,205,20,2,0.45,0.88,Summer,Holi,40.0,1764.0,504.0,1260,3,2023,11,4,2,1,0,1,1.4,185,2023-03-11,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
65,Eveready Battery D 2pc,Electronics,65,90,0,30,82,11,3,0.97,0.9,Rainy,None,38.46,2700.0,750.0,1950,6,2023,2,2,1,2,0,0,1.385,71,2023-06-02,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
66,Agarbatti Pack 20pc,FMCG,25,35,0,60,51,19,5,0.38,0.85,Winter,None,40.0,2100.0,600.0,1500,11,2024,15,1,3,4,0,0,1.4,32,2024-11-15,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
67,Camphor Tablets 25g,FMCG,28,40,0,29,87,12,2,0.42,0.95,Rainy,None,42.86,1160.0,348.0,812,7,2024,7,0,1,3,0,0,1.429,75,2024-07-07,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
68,Haldirams Namkeen 200g,FMCG,55,75,0,229,300,44,2,0.82,0.9,Autumn,Navratri,36.36,17175.0,4580.0,12595,10,2024,18,4,3,4,0,1,1.364,256,2024-10-18,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
69,Handkerchief 3pc,Fashion,30,45,0,40,233,10,3,0.45,0.98,Winter,Chhath Puja,50.0,1800.0,600.0,1200,11,2024,8,1,2,4,0,1,1.5,223,2024-11-08,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
70,Vicks 10g,FMCG,35,48,0,52,309,12,2,0.53,0.75,Autumn,None,37.14,2496.0,676.0,1820,10,2024,10,3,2,4,0,0,1.371,297,2024-10-10,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
71,Salwar Suit Cotton,Fashion,280,450,10,11,38,10,7,4.2,0.8,Rainy,Raksha Bandhan,60.71,4455.0,1375.0,3080,8,2023,12,5,2,3,1,1,1.607,28,2023-08-12,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
72,Haldi Powder 100g,Grocery,28,38,2,70,85,24,7,0.42,0.88,Summer,None,35.71,2606.8,646.8,1960,3,2024,13,6,2,1,1,0,1.357,61,2024-03-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
73,Lifebuoy Soap 100g,FMCG,28,36,5,87,53,39,4,0.42,0.98,Autumn,Diwali,28.57,2975.4,539.4,2436,10,2024,13,6,2,4,1,1,1.286,14,2024-10-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
74,Ariel 500g,FMCG,95,120,5,54,265,20,7,1.43,0.9,Winter,Lohri,26.32,6156.0,1026.0,5130,1,2023,18,4,3,1,0,1,1.263,245,2023-01-18,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
75,Earphones Basic,Electronics,85,140,0,28,194,10,3,1.27,0.75,Winter,Children's Day,64.71,3920.0,1540.0,2380,11,2024,18,4,3,4,0,1,1.647,184,2024-11-18,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
76,Neem Pesticide 100ml,Agriculture,65,95,5,54,280,10,3,0.97,0.85,Rainy,None,46.15,4873.5,1363.5,3510,6,2023,21,0,3,2,0,0,1.462,270,2023-06-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
77,Salwar Suit Cotton,Fashion,280,450,2,13,58,10,7,4.2,0.75,Rainy,None,60.71,5733.0,2093.0,3640,6,2024,20,6,3,2,1,0,1.607,48,2024-06-20,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
78,Mustard Oil 1L,Grocery,155,185,5,120,144,26,4,2.32,0.88,Winter,Lohri,19.35,21090.0,2490.0,18600,1,2023,17,3,3,1,0,1,1.194,118,2023-01-17,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
79,Poha 500g,Grocery,28,36,2,45,111,18,7,0.42,0.8,Winter,Lohri,28.57,1587.6,327.6,1260,1,2024,22,1,4,1,0,1,1.286,93,2024-01-22,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
80,Rajma 500g,Grocery,65,82,15,44,54,12,2,0.97,0.9,Summer,Baisakhi,26.15,3066.8,206.8,2860,4,2023,3,3,1,2,0,1,1.262,42,2023-04-03,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
81,Basmati Rice 5kg,Grocery,280,340,10,216,265,40,3,4.2,0.75,Autumn,Diwali,21.43,66096.0,5616.0,60480,10,2023,23,2,4,4,0,1,1.214,225,2023-10-23,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
82,Hajmola 100 Tabs,FMCG,45,60,0,51,334,24,3,0.67,0.85,Rainy,None,33.33,3060.0,765.0,2295,8,2023,6,6,1,3,1,0,1.333,310,2023-08-06,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
83,Neem Pesticide 100ml,Agriculture,65,95,10,22,274,11,2,0.97,0.7,Winter,Lohri,46.15,1881.0,451.0,1430,1,2023,19,5,3,1,1,1,1.462,263,2023-01-19,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
84,Good Day Biscuit 250g,FMCG,28,38,0,94,310,26,3,0.42,0.8,Winter,None,35.71,3572.0,940.0,2632,12,2024,21,0,3,4,0,0,1.357,284,2024-12-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
85,Vim Bar 200g,FMCG,25,32,0,75,116,28,5,0.38,0.85,Winter,Christmas,28.0,2400.0,525.0,1875,12,2024,1,1,1,4,0,1,1.28,88,2024-12-01,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
86,Lifebuoy Soap 100g,FMCG,28,36,0,137,155,28,1,0.42,0.9,Summer,Baisakhi,28.57,4932.0,1096.0,3836,4,2024,5,5,1,2,1,1,1.286,127,2024-04-05,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
87,Eveready Battery D 2pc,Electronics,65,90,0,23,176,10,3,0.97,0.9,Autumn,None,38.46,2070.0,575.0,1495,10,2024,12,5,2,4,1,0,1.385,166,2024-10-12,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
88,Lux Soap 75g,FMCG,32,42,0,98,280,34,4,0.48,0.98,Autumn,Navratri,31.25,4116.0,980.0,3136,9,2024,25,4,4,3,0,1,1.312,246,2024-09-25,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
89,Soya Chunks 200g,Grocery,35,48,0,30,244,12,3,0.53,0.98,Winter,None,37.14,1440.0,390.0,1050,12,2024,6,6,1,4,1,0,1.371,232,2024-12-06,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
90,Pepsodent 200g,FMCG,75,92,0,43,17,21,7,1.12,0.8,Rainy,None,22.67,3956.0,731.0,3225,8,2023,26,5,4,3,1,0,1.227,-4,2023-08-26,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
91,Camphor Tablets 25g,FMCG,28,40,0,34,304,15,5,0.42,0.95,Rainy,None,42.86,1360.0,408.0,952,6,2024,2,2,1,2,0,0,1.429,289,2024-06-02,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
92,Stapler Small,Stationery,45,65,10,24,285,10,3,0.67,0.75,Summer,Baisakhi,44.44,1404.0,324.0,1080,4,2023,3,3,1,2,0,1,1.444,275,2023-04-03,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
93,Neem Pesticide 100ml,Agriculture,65,95,0,66,213,11,2,0.97,0.98,Rainy,None,46.15,6270.0,1980.0,4290,7,2023,4,4,1,3,0,0,1.462,202,2023-07-04,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
94,Tape Roll,Stationery,18,28,0,32,240,12,2,0.27,0.85,Winter,Children's Day,55.56,896.0,320.0,576,11,2024,13,6,2,4,1,1,1.556,228,2024-11-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
95,Diya Set 12pc,FMCG,38,65,0,8,104,10,3,0.57,0.92,Rainy,None,71.05,520.0,216.0,304,7,2023,12,5,2,3,1,0,1.711,94,2023-07-12,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
96,Surf Excel 1kg,FMCG,130,165,0,58,81,21,1,1.95,0.88,Summer,None,26.92,9570.0,2030.0,7540,4,2024,19,5,3,2,1,0,1.269,60,2024-04-19,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
97,Salwar Suit Cotton,Fashion,280,450,0,21,297,10,2,4.2,0.8,Winter,Chhath Puja,60.71,9450.0,3570.0,5880,11,2024,8,1,2,4,0,1,1.607,287,2024-11-08,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
98,Agarbatti Pack 20pc,FMCG,25,35,0,61,293,24,5,0.38,0.88,Summer,None,40.0,2135.0,610.0,1525,4,2024,13,6,2,2,1,0,1.4,269,2024-04-13,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
99,Poha 500g,Grocery,28,36,0,72,187,18,5,0.42,0.8,Winter,Republic Day,28.57,2592.0,576.0,2016,1,2023,28,0,4,1,0,1,1.286,169,2023-01-28,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
100,Garden Pump Sprayer 1L,Agriculture,145,210,0,32,343,10,3,2.17,0.9,Rainy,None,44.83,6720.0,2080.0,4640,7,2024,25,4,4,3,0,0,1.448,333,2024-07-25,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
101,Agarbatti Pack 20pc,FMCG,25,35,5,61,33,15,4,0.38,0.75,Rainy,Independence Day,40.0,2028.25,503.25,1525,8,2024,21,0,3,3,0,1,1.4,18,2024-08-21,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
102,Maggi Noodles 70g,FMCG,12,15,0,175,198,63,3,0.18,0.9,Rainy,None,25.0,2625.0,525.0,2100,7,2023,3,3,1,3,0,0,1.25,135,2023-07-03,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
103,Lifebuoy Soap 100g,FMCG,28,36,2,96,206,34,5,0.42,0.98,Winter,None,28.57,3386.88,698.88,2688,2,2023,22,1,4,1,0,0,1.286,172,2023-02-22,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
104,Sunsilk Shampoo 80ml,FMCG,58,75,0,39,203,19,5,0.87,0.85,Winter,None,29.31,2925.0,663.0,2262,11,2023,7,0,1,4,0,0,1.293,184,2023-11-07,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
105,Garden Pump Sprayer 1L,Agriculture,145,210,0,12,261,10,3,2.17,0.9,Winter,Children's Day,44.83,2520.0,780.0,1740,11,2023,28,0,4,4,0,1,1.448,251,2023-11-28,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
106,Salwar Suit Cotton,Fashion,280,450,0,14,347,10,5,4.2,0.8,Winter,Children's Day,60.71,6300.0,2380.0,3920,11,2023,5,5,1,4,1,1,1.607,337,2023-11-05,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
107,Tea Tata Gold 250g,Grocery,105,130,5,95,123,22,1,1.57,0.7,Winter,Children's Day,23.81,11732.5,1757.5,9975,11,2023,10,3,2,4,0,1,1.238,101,2023-11-10,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
108,Good Day Biscuit 250g,FMCG,28,38,0,80,96,28,2,0.42,0.7,Summer,None,35.71,3040.0,800.0,2240,5,2023,27,6,4,2,1,0,1.357,68,2023-05-27,Ramesh General Store,"Bhopal, Madhya Pradesh",Central India
