product_name,category,cost_price,selling_price,discount_pct,units_sold,current_stock,reorder_level,lead_time_days,holding_cost,supplier_reliability,season,festival,region,margin_pct,revenue,profit,investment,month,year,day,day_of_week,week,quarter,is_weekend,is_festival,price_ratio,stock_buffer,date
Tea Brooke Bond 500g,Grocery,175,215,0,139,234,32,3,2.62,0.75,Winter,None,Central India,22.86,29885.0,5560.0,24325,1,2023,1,6,1,1,1,0,1.229,202,2023-01-01
Tea Tata Gold 250g,Grocery,105,130,0,95,299,26,2,1.57,0.75,Winter,None,Central India,23.81,12350.0,2375.0,9975,1,2023,1,6,1,1,1,0,1.238,273,2023-01-01
Dry Coconut 200g,Grocery,95,125,0,38,271,12,3,1.43,0.88,Winter,None,Central India,31.58,4750.0,1140.0,3610,1,2023,1,6,1,1,1,0,1.316,259,2023-01-01
Saunf 100g,Grocery,22,30,0,28,84,14,1,0.33,0.95,Winter,None,Central India,36.36,840.0,224.0,616,1,2023,1,6,1,1,1,0,1.364,70,2023-01-01
Lifebuoy Soap 100g,FMCG,28,36,0,73,28,36,7,0.42,0.75,Winter,None,Central India,28.57,2628.0,584.0,2044,1,2023,1,6,1,1,1,0,1.286,-8,2023-01-01
Lux Soap 75g,FMCG,32,42,0,77,182,28,2,0.48,0.75,Winter,None,Central India,31.25,3234.0,770.0,2464,1,2023,1,6,1,1,1,0,1.312,154,2023-01-01
Colgate 200g,FMCG,82,100,0,75,280,26,2,1.23,0.95,Winter,None,Central India,21.95,7500.0,1350.0,6150,1,2023,1,6,1,1,1,0,1.22,254,2023-01-01
Pepsodent 200g,FMCG,75,92,0,61,220,22,7,1.12,0.88,Winter,None,Central India,22.67,5612.0,1037.0,4575,1,2023,1,6,1,1,1,0,1.227,198,2023-01-01
Clinic Plus Shampoo 80ml,FMCG,55,72,0,52,52,20,7,0.82,0.95,Winter,None,Central India,30.91,3744.0,884.0,2860,1,2023,1,6,1,1,1,0,1.309,32,2023-01-01
Sunsilk Shampoo 80ml,FMCG,58,75,0,36,118,18,3,0.87,0.92,Winter,None,Central India,29.31,2700.0,612.0,2088,1,2023,1,6,1,1,1,0,1.293,100,2023-01-01
Surf Excel 1kg,FMCG,130,165,0,43,54,22,1,1.95,0.85,Winter,None,Central India,26.92,7095.0,1505.0,5590,1,2023,1,6,1,1,1,0,1.269,32,2023-01-01
Ariel 500g,FMCG,95,120,0,47,276,18,3,1.43,0.8,Winter,None,Central India,26.32,5640.0,1175.0,4465,1,2023,1,6,1,1,1,0,1.263,258,2023-01-01
Parle-G 800g,FMCG,45,58,0,106,274,48,4,0.67,0.95,Winter,None,Central India,28.89,6148.0,1378.0,4770,1,2023,1,6,1,1,1,0,1.289,226,2023-01-01
Good Day Biscuit 250g,FMCG,28,38,0,82,198,34,5,0.42,0.95,Winter,None,Central India,35.71,3116.0,820.0,2296,1,2023,1,6,1,1,1,0,1.357,164,2023-01-01
Hide & Seek 100g,FMCG,32,45,0,49,260,24,3,0.48,0.9,Winter,None,Central India,40.62,2205.0,637.0,1568,1,2023,1,6,1,1,1,0,1.406,236,2023-01-01
Maggi Noodles 70g,FMCG,12,15,0,261,250,60,3,0.18,0.95,Winter,None,Central India,25.0,3915.0,783.0,3132,1,2023,1,6,1,1,1,0,1.25,190,2023-01-01
Maggi Noodles 4-Pack,FMCG,52,65,0,135,190,36,3,0.78,0.88,Winter,None,Central India,25.0,8775.0,1755.0,7020,1,2023,1,6,1,1,1,0,1.25,154,2023-01-01
Lay's Chips 26g,FMCG,15,20,0,204,262,80,4,0.22,0.88,Winter,None,Central India,33.33,4080.0,1020.0,3060,1,2023,1,6,1,1,1,0,1.333,182,2023-01-01
Kurkure 65g,FMCG,18,25,0,194,85,70,2,0.27,0.9,Winter,None,Central India,38.89,4850.0,1358.0,3492,1,2023,1,6,1,1,1,0,1.389,15,2023-01-01
Haldirams Namkeen 200g,FMCG,55,75,0,84,47,38,3,0.82,0.88,Winter,None,Central India,36.36,6300.0,1680.0,4620,1,2023,1,6,1,1,1,0,1.364,9,2023-01-01
Haldirams Mixture 400g,FMCG,110,148,0,66,147,28,2,1.65,0.95,Winter,None,Central India,34.55,9768.0,2508.0,7260,1,2023,1,6,1,1,1,0,1.345,119,2023-01-01
Frooti 200ml,FMCG,12,15,0,236,244,100,1,0.18,0.75,Winter,None,Central India,25.0,3540.0,708.0,2832,1,2023,1,6,1,1,1,0,1.25,144,2023-01-01
Maaza 250ml,FMCG,18,22,0,224,140,80,3,0.27,0.9,Winter,None,Central India,22.22,4928.0,896.0,4032,1,2023,1,6,1,1,1,0,1.222,60,2023-01-01
Thums Up 600ml,FMCG,38,45,0,93,184,72,1,0.57,0.85,Winter,None,Central India,18.42,4185.0,651.0,3534,1,2023,1,6,1,1,1,0,1.184,112,2023-01-01
Limca 600ml,FMCG,35,42,0,159,253,60,3,0.53,0.95,Winter,None,Central India,20.0,6678.0,1113.0,5565,1,2023,1,6,1,1,1,0,1.2,193,2023-01-01
Glucon-D 200g,FMCG,55,72,0,59,252,26,3,0.82,0.75,Winter,None,Central India,30.91,4248.0,1003.0,3245,1,2023,1,6,1,1,1,0,1.309,226,2023-01-01
ORS Sachets (5pc),FMCG,22,30,0,40,71,18,3,0.33,0.92,Winter,None,Central India,36.36,1200.0,320.0,880,1,2023,1,6,1,1,1,0,1.364,53,2023-01-01
Vim Bar 200g,FMCG,25,32,0,71,120,24,1,0.38,0.75,Winter,None,Central India,28.0,2272.0,497.0,1775,1,2023,1,6,1,1,1,0,1.28,96,2023-01-01
Harpic 500ml,FMCG,75,98,0,41,206,14,1,1.12,0.8,Winter,None,Central India,30.67,4018.0,943.0,3075,1,2023,1,6,1,1,1,0,1.307,192,2023-01-01
Dettol 250ml,FMCG,68,88,0,39,243,18,1,1.02,0.75,Winter,None,Central India,29.41,3432.0,780.0,2652,1,2023,1,6,1,1,1,0,1.294,225,2023-01-01
Hajmola 100 Tabs,FMCG,45,60,0,55,145,22,2,0.67,0.9,Winter,None,Central India,33.33,3300.0,825.0,2475,1,2023,1,6,1,1,1,0,1.333,123,2023-01-01
Vicks 10g,FMCG,35,48,0,106,266,16,3,0.53,0.95,Winter,None,Central India,37.14,5088.0,1378.0,3710,1,2023,1,6,1,1,1,0,1.371,250,2023-01-01
Eno Sachet (6pc),FMCG,28,38,0,49,222,20,7,0.42,0.85,Winter,None,Central India,35.71,1862.0,490.0,1372,1,2023,1,6,1,1,1,0,1.357,202,2023-01-01
Diya Set 12pc,FMCG,38,65,0,9,117,10,4,0.57,0.92,Winter,None,Central India,71.05,585.0,243.0,342,1,2023,1,6,1,1,1,0,1.711,107,2023-01-01
Gulal Colors 100g,FMCG,22,40,0,4,259,10,7,0.33,0.75,Winter,None,Central India,81.82,160.0,72.0,88,1,2023,1,6,1,1,1,0,1.818,249,2023-01-01
Agarbatti Pack 20pc,FMCG,25,35,0,50,278,20,3,0.38,0.88,Winter,None,Central India,40.0,1750.0,500.0,1250,1,2023,1,6,1,1,1,0,1.4,258,2023-01-01
Camphor Tablets 25g,FMCG,28,40,0,27,166,14,3,0.42,0.95,Winter,None,Central India,42.86,1080.0,324.0,756,1,2023,1,6,1,1,1,0,1.429,152,2023-01-01
Mosquito Coil (10pc),FMCG,32,45,0,60,147,22,5,0.48,0.8,Winter,None,Central India,40.62,2700.0,780.0,1920,1,2023,1,6,1,1,1,0,1.406,125,2023-01-01
All Out Refill,FMCG,88,115,0,33,148,16,2,1.32,0.88,Winter,None,Central India,30.68,3795.0,891.0,2904,1,2023,1,6,1,1,1,0,1.307,132,2023-01-01
Classmate Notebook 200pg,Stationery,48,65,0,67,118,32,5,0.72,0.88,Winter,None,Central India,35.42,4355.0,1139.0,3216,1,2023,1,6,1,1,1,0,1.354,86,2023-01-01
Reynolds Pen (10pc),Stationery,35,50,0,106,163,38,2,0.53,0.75,Winter,None,Central India,42.86,5300.0,1590.0,3710,1,2023,1,6,1,1,1,0,1.429,125,2023-01-01
Apsara Pencil (10pc),Stationery,15,22,0,48,273,28,3,0.22,0.9,Winter,None,Central India,46.67,1056.0,336.0,720,1,2023,1,6,1,1,1,0,1.467,245,2023-01-01
Fevicol 50g,Stationery,20,28,0,45,56,18,7,0.3,0.85,Winter,None,Central India,40.0,1260.0,360.0,900,1,2023,1,6,1,1,1,0,1.4,38,2023-01-01
Stapler Small,Stationery,45,65,0,17,166,10,7,0.67,0.85,Winter,None,Central India,44.44,1105.0,340.0,765,1,2023,1,6,1,1,1,0,1.444,156,2023-01-01
Register A4 100pg,Stationery,35,50,0,25,171,12,4,0.53,0.75,Winter,None,Central India,42.86,1250.0,375.0,875,1,2023,1,6,1,1,1,0,1.429,159,2023-01-01
Sketch Pens (12pc),Stationery,32,48,0,30,123,14,3,0.48,0.92,Winter,None,Central India,50.0,1440.0,480.0,960,1,2023,1,6,1,1,1,0,1.5,109,2023-01-01
Scale 30cm,Stationery,8,12,0,41,246,16,7,0.12,0.92,Winter,None,Central India,50.0,492.0,164.0,328,1,2023,1,6,1,1,1,0,1.5,230,2023-01-01
Eraser Apsara,Stationery,4,7,0,49,213,24,4,0.06,0.85,Winter,None,Central India,75.0,343.0,147.0,196,1,2023,1,6,1,1,1,0,1.75,189,2023-01-01
Tape Roll,Stationery,18,28,0,24,227,12,3,0.27,0.75,Winter,None,Central India,55.56,672.0,240.0,432,1,2023,1,6,1,1,1,0,1.556,215,2023-01-01
Eveready Battery AA 4pc,Electronics,55,75,0,44,154,18,2,0.82,0.75,Winter,None,Central India,36.36,3300.0,880.0,2420,1,2023,1,6,1,1,1,0,1.364,136,2023-01-01
Eveready Battery D 2pc,Electronics,65,90,0,29,147,12,1,0.97,0.88,Winter,None,Central India,38.46,2610.0,725.0,1885,1,2023,1,6,1,1,1,0,1.385,135,2023-01-01
CFL Bulb 9W Bajaj,Electronics,65,90,0,35,41,10,4,0.97,0.92,Winter,None,Central India,38.46,3150.0,875.0,2275,1,2023,1,6,1,1,1,0,1.385,31,2023-01-01
LED Bulb 9W Philips,Electronics,95,130,0,30,57,12,4,1.43,0.9,Winter,None,Central India,36.84,3900.0,1050.0,2850,1,2023,1,6,1,1,1,0,1.368,45,2023-01-01
Extension Cord 5m,Electronics,175,240,0,17,46,10,2,2.62,0.9,Winter,None,Central India,37.14,4080.0,1105.0,2975,1,2023,1,6,1,1,1,0,1.371,36,2023-01-01
Phone Charging Cable,Electronics,65,100,0,34,116,14,3,0.97,0.95,Winter,None,Central India,53.85,3400.0,1190.0,2210,1,2023,1,6,1,1,1,0,1.538,102,2023-01-01
Earphones Basic,Electronics,85,140,0,18,166,10,3,1.27,0.85,Winter,None,Central India,64.71,2520.0,990.0,1530,1,2023,1,6,1,1,1,0,1.647,156,2023-01-01
Gamcha (Cotton Towel),Fashion,55,80,0,39,211,16,1,0.82,0.75,Winter,None,Central India,45.45,3120.0,975.0,2145,1,2023,1,6,1,1,1,0,1.455,195,2023-01-01
Socks Cotton (3 pair),Fashion,55,80,0,62,65,14,3,0.82,0.92,Winter,None,Central India,45.45,4960.0,1550.0,3410,1,2023,1,6,1,1,1,0,1.455,51,2023-01-01
Handkerchief 3pc,Fashion,30,45,0,31,118,12,3,0.45,0.75,Winter,None,Central India,50.0,1395.0,465.0,930,1,2023,1,6,1,1,1,0,1.5,106,2023-01-01
Banyan Vest Cotton,Fashion,75,110,0,29,200,12,5,1.12,0.85,Winter,None,Central India,46.67,3190.0,1015.0,2175,1,2023,1,6,1,1,1,0,1.467,188,2023-01-01
Dupatta Plain,Fashion,95,150,0,21,207,10,1,1.43,0.88,Winter,None,Central India,57.89,3150.0,1155.0,1995,1,2023,1,6,1,1,1,0,1.579,197,2023-01-01
Salwar Suit Cotton,Fashion,280,450,0,12,180,10,7,4.2,0.85,Winter,None,Central India,60.71,5400.0,2040.0,3360,1,2023,1,6,1,1,1,0,1.607,170,2023-01-01
Kurta Men Cotton,Fashion,195,320,0,13,147,10,2,2.92,0.75,Winter,None,Central India,64.1,4160.0,1625.0,2535,1,2023,1,6,1,1,1,0,1.641,137,2023-01-01
Urea Fertilizer 1kg,Agriculture,35,50,0,47,193,16,7,0.53,0.8,Winter,None,Central India,42.86,2350.0,705.0,1645,1,2023,1,6,1,1,1,0,1.429,177,2023-01-01
DAP Fertilizer 1kg,Agriculture,55,75,0,28,170,12,2,0.82,0.95,Winter,None,Central India,36.36,2100.0,560.0,1540,1,2023,1,6,1,1,1,0,1.364,158,2023-01-01
Neem Pesticide 100ml,Agriculture,65,95,0,29,292,10,7,0.97,0.75,Winter,None,Central India,46.15,2755.0,870.0,1885,1,2023,1,6,1,1,1,0,1.462,282,2023-01-01
Garden Pump Sprayer 1L,Agriculture,145,210,0,15,265,10,7,2.17,0.95,Winter,None,Central India,44.83,3150.0,975.0,2175,1,2023,1,6,1,1,1,0,1.448,255,2023-01-01
Vegetable Seeds Packet,Agriculture,28,45,0,101,32,14,3,0.42,0.8,Winter,None,Central India,60.71,4545.0,1717.0,2828,1,2023,1,6,1,1,1,0,1.607,18,2023-01-01
Basmati Rice 5kg,Grocery,280,340,0,98,55,34,3,4.2,0.88,Winter,None,Central India,21.43,33320.0,5880.0,27440,2,2023,1,2,1,1,0,0,1.214,21,2023-02-01
Atta Aashirvaad 10kg,Grocery,330,390,0,141,161,38,3,4.95,0.85,Winter,None,Central India,18.18,54990.0,8460.0,46530,2,2023,1,2,1,1,0,0,1.182,123,2023-02-01
Toor Dal 1kg,Grocery,130,155,0,88,162,30,3,1.95,0.8,Winter,None,Central India,19.23,13640.0,2200.0,11440,2,2023,1,2,1,1,0,0,1.192,132,2023-02-01
Chana Dal 1kg,Grocery,90,112,0,61,70,24,1,1.35,0.8,Winter,None,Central India,24.44,6832.0,1342.0,5490,2,2023,1,2,1,1,0,0,1.244,46,2023-02-01
Mustard Oil 1L,Grocery,155,185,0,76,82,28,4,2.32,0.9,Winter,None,Central India,19.35,14060.0,2280.0,11780,2,2023,1,2,1,1,0,0,1.194,54,2023-02-01
Refined Oil Soya 5L,Grocery,580,680,0,51,199,20,2,8.7,0.92,Winter,None,Central India,17.24,34680.0,5100.0,29580,2,2023,1,2,1,1,0,0,1.172,179,2023-02-01
Sugar 1kg,Grocery,42,50,0,123,290,48,4,0.63,0.85,Winter,None,Central India,19.05,6150.0,984.0,5166,2,2023,1,2,1,1,0,0,1.19,242,2023-02-01
Salt Tata 1kg,Grocery,18,22,0,91,72,36,3,0.27,0.88,Winter,None,Central India,22.22,2002.0,364.0,1638,2,2023,1,2,1,1,0,0,1.222,36,2023-02-01
Poha 500g,Grocery,28,36,0,44,127,22,3,0.42,0.95,Winter,None,Central India,28.57,1584.0,352.0,1232,2,2023,1,2,1,1,0,0,1.286,105,2023-02-01
Maida 1kg,Grocery,32,40,0,90,163,18,3,0.48,0.8,Winter,None,Central India,25.0,3600.0,720.0,2880,2,2023,1,2,1,1,0,0,1.25,145,2023-02-01
Besan 500g,Grocery,38,48,0,63,143,16,2,0.57,0.92,Winter,None,Central India,26.32,3024.0,630.0,2394,2,2023,1,2,1,1,0,0,1.263,127,2023-02-01
Rajma 500g,Grocery,65,82,0,61,294,14,3,0.97,0.8,Winter,None,Central India,26.15,5002.0,1037.0,3965,2,2023,1,2,1,1,0,0,1.262,280,2023-02-01
Haldi Powder 100g,Grocery,28,38,0,45,248,20,2,0.42,0.9,Winter,None,Central India,35.71,1710.0,450.0,1260,2,2023,1,2,1,1,0,0,1.357,228,2023-02-01
Red Chilli Powder 100g,Grocery,30,42,0,46,148,19,2,0.45,0.8,Winter,None,Central India,40.0,1932.0,552.0,1380,2,2023,1,2,1,1,0,0,1.4,129,2023-02-01
Coriander Powder 100g,Grocery,22,32,0,38,20,18,5,0.33,0.8,Winter,None,Central India,45.45,1216.0,380.0,836,2,2023,1,2,1,1,0,0,1.455,2,2023-02-01
Tea Brooke Bond 500g,Grocery,175,215,0,113,108,32,7,2.62,0.9,Winter,None,Central India,22.86,24295.0,4520.0,19775,2,2023,1,2,1,1,0,0,1.229,76,2023-02-01
Tea Tata Gold 250g,Grocery,105,130,0,87,291,26,3,1.57,0.95,Winter,None,Central India,23.81,11310.0,2175.0,9135,2,2023,1,2,1,1,0,0,1.238,265,2023-02-01
Dry Coconut 200g,Grocery,95,125,0,25,266,12,2,1.43,0.88,Winter,None,Central India,31.58,3125.0,750.0,2375,2,2023,1,2,1,1,0,0,1.316,254,2023-02-01
Saunf 100g,Grocery,22,30,0,47,173,14,7,0.33,0.85,Winter,None,Central India,36.36,1410.0,376.0,1034,2,2023,1,2,1,1,0,0,1.364,159,2023-02-01
Lifebuoy Soap 100g,FMCG,28,36,0,86,237,36,2,0.42,0.9,Winter,None,Central India,28.57,3096.0,688.0,2408,2,2023,1,2,1,1,0,0,1.286,201,2023-02-01
Lux Soap 75g,FMCG,32,42,0,93,58,28,3,0.48,0.75,Winter,None,Central India,31.25,3906.0,930.0,2976,2,2023,1,2,1,1,0,0,1.312,30,2023-02-01
Colgate 200g,FMCG,82,100,0,89,269,26,2,1.23,0.92,Winter,None,Central India,21.95,8900.0,1602.0,7298,2,2023,1,2,1,1,0,0,1.22,243,2023-02-01
Pepsodent 200g,FMCG,75,92,0,50,119,22,2,1.12,0.88,Winter,None,Central India,22.67,4600.0,850.0,3750,2,2023,1,2,1,1,0,0,1.227,97,2023-02-01
Clinic Plus Shampoo 80ml,FMCG,55,72,0,62,115,20,1,0.82,0.9,Winter,None,Central India,30.91,4464.0,1054.0,3410,2,2023,1,2,1,1,0,0,1.309,95,2023-02-01
Sunsilk Shampoo 80ml,FMCG,58,75,0,33,23,18,7,0.87,0.95,Winter,None,Central India,29.31,2475.0,561.0,1914,2,2023,1,2,1,1,0,0,1.293,5,2023-02-01
Surf Excel 1kg,FMCG,130,165,0,66,197,22,2,1.95,0.88,Winter,None,Central India,26.92,10890.0,2310.0,8580,2,2023,1,2,1,1,0,0,1.269,175,2023-02-01
Ariel 500g,FMCG,95,120,0,49,52,18,1,1.43,0.9,Winter,None,Central India,26.32,5880.0,1225.0,4655,2,2023,1,2,1,1,0,0,1.263,34,2023-02-01
Parle-G 800g,FMCG,45,58,0,134,84,48,1,0.67,0.8,Winter,None,Central India,28.89,7772.0,1742.0,6030,2,2023,1,2,1,1,0,0,1.289,36,2023-02-01
Good Day Biscuit 250g,FMCG,28,38,0,86,62,34,3,0.42,0.9,Winter,None,Central India,35.71,3268.0,860.0,2408,2,2023,1,2,1,1,0,0,1.357,28,2023-02-01
Hide & Seek 100g,FMCG,32,45,0,54,283,24,3,0.48,0.8,Winter,None,Central India,40.62,2430.0,702.0,1728,2,2023,1,2,1,1,0,0,1.406,259,2023-02-01
Maggi Noodles 70g,FMCG,12,15,0,233,109,60,4,0.18,0.8,Winter,None,Central India,25.0,3495.0,699.0,2796,2,2023,1,2,1,1,0,0,1.25,49,2023-02-01
Maggi Noodles 4-Pack,FMCG,52,65,0,134,133,36,3,0.78,0.85,Winter,None,Central India,25.0,8710.0,1742.0,6968,2,2023,1,2,1,1,0,0,1.25,97,2023-02-01
Lay's Chips 26g,FMCG,15,20,0,138,236,80,3,0.22,0.9,Winter,None,Central India,33.33,2760.0,690.0,2070,2,2023,1,2,1,1,0,0,1.333,156,2023-02-01
Kurkure 65g,FMCG,18,25,0,148,211,70,2,0.27,0.75,Winter,None,Central India,38.89,3700.0,1036.0,2664,2,2023,1,2,1,1,0,0,1.389,141,2023-02-01
Haldirams Namkeen 200g,FMCG,55,75,0,85,118,38,7,0.82,0.88,Winter,None,Central India,36.36,6375.0,1700.0,4675,2,2023,1,2,1,1,0,0,1.364,80,2023-02-01
Haldirams Mixture 400g,FMCG,110,148,0,86,171,28,5,1.65,0.92,Winter,None,Central India,34.55,12728.0,3268.0,9460,2,2023,1,2,1,1,0,0,1.345,143,2023-02-01
Frooti 200ml,FMCG,12,15,0,223,243,100,3,0.18,0.88,Winter,None,Central India,25.0,3345.0,669.0,2676,2,2023,1,2,1,1,0,0,1.25,143,2023-02-01
Maaza 250ml,FMCG,18,22,0,255,236,80,2,0.27,0.75,Winter,None,Central India,22.22,5610.0,1020.0,4590,2,2023,1,2,1,1,0,0,1.222,156,2023-02-01
Thums Up 600ml,FMCG,38,45,0,165,292,72,1,0.57,0.92,Winter,None,Central India,18.42,7425.0,1155.0,6270,2,2023,1,2,1,1,0,0,1.184,220,2023-02-01
Limca 600ml,FMCG,35,42,0,83,206,60,2,0.53,0.75,Winter,None,Central India,20.0,3486.0,581.0,2905,2,2023,1,2,1,1,0,0,1.2,146,2023-02-01
Glucon-D 200g,FMCG,55,72,0,64,119,26,3,0.82,0.9,Winter,None,Central India,30.91,4608.0,1088.0,3520,2,2023,1,2,1,1,0,0,1.309,93,2023-02-01
ORS Sachets (5pc),FMCG,22,30,0,47,71,18,2,0.33,0.8,Winter,None,Central India,36.36,1410.0,376.0,1034,2,2023,1,2,1,1,0,0,1.364,53,2023-02-01
Vim Bar 200g,FMCG,25,32,0,58,163,24,3,0.38,0.9,Winter,None,Central India,28.0,1856.0,406.0,1450,2,2023,1,2,1,1,0,0,1.28,139,2023-02-01
Harpic 500ml,FMCG,75,98,0,28,72,14,5,1.12,0.75,Winter,None,Central India,30.67,2744.0,644.0,2100,2,2023,1,2,1,1,0,0,1.307,58,2023-02-01
Dettol 250ml,FMCG,68,88,0,35,58,18,3,1.02,0.9,Winter,None,Central India,29.41,3080.0,700.0,2380,2,2023,1,2,1,1,0,0,1.294,40,2023-02-01
Hajmola 100 Tabs,FMCG,45,60,0,48,242,22,2,0.67,0.9,Winter,None,Central India,33.33,2880.0,720.0,2160,2,2023,1,2,1,1,0,0,1.333,220,2023-02-01
Vicks 10g,FMCG,35,48,0,99,182,16,5,0.53,0.9,Winter,None,Central India,37.14,4752.0,1287.0,3465,2,2023,1,2,1,1,0,0,1.371,166,2023-02-01
Eno Sachet (6pc),FMCG,28,38,0,42,95,20,1,0.42,0.8,Winter,None,Central India,35.71,1596.0,420.0,1176,2,2023,1,2,1,1,0,0,1.357,75,2023-02-01
Diya Set 12pc,FMCG,38,65,0,7,272,10,4,0.57,0.95,Winter,None,Central India,71.05,455.0,189.0,266,2,2023,1,2,1,1,0,0,1.711,262,2023-02-01
Gulal Colors 100g,FMCG,22,40,0,3,141,10,2,0.33,0.9,Winter,None,Central India,81.82,120.0,54.0,66,2,2023,1,2,1,1,0,0,1.818,131,2023-02-01
Agarbatti Pack 20pc,FMCG,25,35,0,46,48,20,3,0.38,0.92,Winter,None,Central India,40.0,1610.0,460.0,1150,2,2023,1,2,1,1,0,0,1.4,28,2023-02-01
Camphor Tablets 25g,FMCG,28,40,0,42,236,14,3,0.42,0.88,Winter,None,Central India,42.86,1680.0,504.0,1176,2,2023,1,2,1,1,0,0,1.429,222,2023-02-01
Mosquito Coil (10pc),FMCG,32,45,0,50,89,22,3,0.48,0.95,Winter,None,Central India,40.62,2250.0,650.0,1600,2,2023,1,2,1,1,0,0,1.406,67,2023-02-01
All Out Refill,FMCG,88,115,0,23,186,16,2,1.32,0.8,Winter,None,Central India,30.68,2645.0,621.0,2024,2,2023,1,2,1,1,0,0,1.307,170,2023-02-01
Classmate Notebook 200pg,Stationery,48,65,0,74,38,32,5,0.72,0.92,Winter,None,Central India,35.42,4810.0,1258.0,3552,2,2023,1,2,1,1,0,0,1.354,6,2023-02-01
Reynolds Pen (10pc),Stationery,35,50,0,89,239,38,4,0.53,0.8,Winter,None,Central India,42.86,4450.0,1335.0,3115,2,2023,1,2,1,1,0,0,1.429,201,2023-02-01
Apsara Pencil (10pc),Stationery,15,22,0,69,167,28,3,0.22,0.9,Winter,None,Central India,46.67,1518.0,483.0,1035,2,2023,1,2,1,1,0,0,1.467,139,2023-02-01
Fevicol 50g,Stationery,20,28,0,49,209,18,1,0.3,0.95,Winter,None,Central India,40.0,1372.0,392.0,980,2,2023,1,2,1,1,0,0,1.4,191,2023-02-01
Stapler Small,Stationery,45,65,0,22,136,10,4,0.67,0.8,Winter,None,Central India,44.44,1430.0,440.0,990,2,2023,1,2,1,1,0,0,1.444,126,2023-02-01
Register A4 100pg,Stationery,35,50,0,31,248,12,3,0.53,0.85,Winter,None,Central India,42.86,1550.0,465.0,1085,2,2023,1,2,1,1,0,0,1.429,236,2023-02-01
Sketch Pens (12pc),Stationery,32,48,0,35,166,14,3,0.48,0.75,Winter,None,Central India,50.0,1680.0,560.0,1120,2,2023,1,2,1,1,0,0,1.5,152,2023-02-01
Scale 30cm,Stationery,8,12,0,56,33,16,5,0.12,0.95,Winter,None,Central India,50.0,672.0,224.0,448,2,2023,1,2,1,1,0,0,1.5,17,2023-02-01
